"Symbol","Name","Industry","Market Cap (Short)","Market Cap (Raw)","$Price","%Change","Volume","%Volume"
"BHP","BHP GROUP","Materials","236B","236000524000","46.56","-0.60","8478184","18.68"
"CBA","COMMONWEALTH BANK OF AUSTRALIA","Financials | Banks","171.4B","171389721000","102.29","0.14","1993737","0.90"
"CSL","CSL","Health Care | Pharmaceuticals, Biotechnology & Life Sciences","124.7B","124732172000","258.21","-0.90","747500","7.66"
"NAB","NATIONAL AUSTRALIA BANK","Financials | Banks","86.8B","86833498000","27.75","-1.18","5950449","18.14"
"FMG","FORTESCUE METALS GROUP","Materials","77.6B","77589916000","25.2","0.08","6433925","38.10"
"WBC","WESTPAC BANKING CORPORATION","Financials | Banks","74.2B","74216978000","21.15","0","4656916","-38.18"
"ANZ","ANZ GROUP HOLDINGS","Financials | Banks","72.7B","72697890000","24.19","-3.28","10278846","50.40"
"MQG","MACQUARIE GROUP","Financials | Financial Services","65B","64955148000","168.07","-0.03","1008204","13.02"
"WES","WESFARMERS","Consumer Discretionary | Consumer Discretionary Distribution & Retail","61.2B","61224251000","53.99","-0.37","1709979","29.06"
"WDS","WOODSIDE ENERGY GROUP","Energy","61B","61006830000","32.13","-0.80","4430184","16.19"
"RIO","RIO TINTO","N/A","46.5B","46465134000","125.17","-0.35","1164367","-1.96"
"GMG","GOODMAN GROUP","Real Estate | Equity Real Estate Investment Trusts (REITs)","44.6B","44554811000","23.46","-0.38","3424699","1.06"
"TLS","TELSTRA GROUP","Communication Services | Telecommunication Services","44.5B","44484545000","3.85","0.52","26350429","31.24"
"WOW","WOOLWORTHS GROUP","Consumer Staples | Consumer Staples Distribution & Retail","43.7B","43671629000","35.75","0.28","1675279","-13.97"
"TCL","TRANSURBAN GROUP","Industrials | Transportation","39.5B","39529690000","12.8","-0.31","3849534","-2.29"
"ALL","ARISTOCRAT LEISURE","Consumer Discretionary | Consumer Services","26.2B","26208313000","40.41","2.36","1766037","58.06"
"STO","SANTOS","Energy","22.9B","22929277000","7.06","-1.94","8139544","17.21"
"QBE","QBE INSURANCE GROUP","Financials | Insurance","22.4B","22438608000","15.02","-0.20","3517259","21.38"
"WTC","WISETECH GLOBAL","Information Technology | Software & Services","22.3B","22288793000","66.87","0.06","391474","-15.61"
"JHX","JAMES HARDIE INDUSTRIES PLC","Materials","21B","21017474000","48.01","1.24","1251798","17.72"
"COL","COLES GROUP","Consumer Staples | Consumer Staples Distribution & Retail","20.8B","20771837000","15.52","0.39","2369774","-0.55"
"REA","REA GROUP","Communication Services | Media & Entertainment","20.7B","20704089000","156.71","-0.47","84893","-48.70"
"NEM","NEWMONT CORPORATION","Materials","19B","19048102000","55.73","0.20","604843","-51.18"
"BXB","BRAMBLES","Industrials | Commercial & Professional Services","18.5B","18520481000","13.31","-0.75","2922580","-25.81"
"SUN","SUNCORP GROUP","Financials | Insurance","17B","16996115000","13.38","-0.37","2478963","4.39"
"COH","COCHLEAR","Health Care | Health Care Equipment & Services","16.9B","16865747000","257.42","-0.11","146020","13.93"
"XRO","XERO","Information Technology | Software & Services","15.2B","15157648000","100.07","-1.84","419497","-11.78"
